2028	125	6	14.77
291	183	7	7.72
573	6143	4	43.98
7183	108	3	10.49
255	558	4	11.17
1402	949	3	19.34
111	2287	5	7.95
5931	4	4	26.5
1162	146	15	69.24
5214	118	3	8.46
7276	110	3	11.28
1199	622	4	24.9
137	382	9	8.66
127	3598	7	38.67
515	239	6	17.12
12	328	74	61.52
6972	106	3	6.93
58	125	27	14.75
155	480	7	10.33
106	494	25	8.02
7906	106	3	6.93
1898	202	6	30.39
854	7032	3	35.16
12	129	400	26.4
1842	110	7	9.25
165	144	136	551.38
866	170	4	7.24
115	2408	5	9.2
58	171	13	10.75
106	545	25	9.45
1092	738	3	16.99
179	1798	4	13.86
379	490	4	12.66
4448	1982	5	68.68
168	7712	3	21.77
1712	168	3	7.4
1916	7	3	8.76
113	159	52	11.84
2634	155	3	9.13
5403	110	3	7.12
113	106	421	12.64
1279	153	6	16.7
728	4503	3	27.66
563	370	3	8.88
3034	368	3	19.74
166	1621	3	6.93
224	407	6	13.65
2988	302	4	27.5
103	112	680	60.65
943	202	4	11.19
198	2699	3	12.98
121	3523	5	17.12
5632	171	3	17.26
350	549	3	8.18
168	171	25	29.11
103	157	149	9.32
1320	164	12	60.27
184	1691	3	8.02
12	1465	17	13.72
2225	683	12	138
190	1269	3	7.01
142	2588	3	7.52
193	2980	4	22.42
3324	302	4	29.01
154	8300	3	20.31
256	327	4	7.09
111	1738	8	13.26
228	237	8	13.2
782	263	4	13.36
1029	1254	7	58.73
5649	102	4	6.94
1153	205	9	44.02
177	149	24	17.82
7339	115	3	13.86
228	57	38	26
16	102	186	7.43
145	3073	3	8.86
146	2154	4	11.46
121	7796	3	15.09
738	5633	3	30.46
983	2896	9	109.86
356	614	4	14.09
1260	475	21	228.75
146	2258	3	6.78
158	154	24	14.65
437	13	4	7.97
4324	104	6	11.84
241	160	10	8.88
341	1174	3	12.44
2501	111	5	6.77
101	557	46	46.74
129	3147	3	6.85
909	128	9	17.98
140	169	26	12.7
382	135	9	9.04
838	456	4	18.5
182	219	12	13.92
117	237	24	13.08
456	450	3	8.55
117	158	60	37.8
417	3392	7	72.72
205	1166	23	192.12
1191	197	3	7.28
2126	205	5	25.12
1589	167	3	6.64
596	104	27	11.47
182	126	31	11.11
117	57	146	14.95
246	102	94	66.7
139	764	7	11.5
193	356	26	128.78
101	231	98	10.7
1117	1391	3	20.08
106	3808	5	6.89
7131	358	3	29.99
765	3004	8	93.53
344	58	9	21.43
101	107	1181	25.92
1986	193	5	24.68
115	1808	7	13.3
1208	107	9	7.71
133	134	49	21.35
1316	12	17	10.29
543	1835	3	17.58
101	160	229	66.79
198	207	9	8.79
103	2709	7	7.94
858	112	9	6.64
2628	9	3	7.31
480	131	8	6.95
4483	8	4	20.22
260	196	12	24.79
173	153	18	8.12
914	171	4	7.03
123	137	200	492.87
4	902	5	8.25
1002	192	8	31.75
2140	123	5	10.46
153	14	320	16.33
996	556	3	13.99
1531	529	3	16.02
1694	108	8	8.87
3716	101	7	7.09
123	331	18	18.53
8492	204	3	24.68
152	3953	6	40.29
224	230	7	8.58
105	3609	6	7.56
2807	7541	3	43.21
102	656	27	10.59
221	1316	3	9.27
7149	1383	3	38.1
1670	1002	3	20.69
166	2081	3	8.16
1398	185	3	7.09
165	1228	5	13.82
729	105	21	9.68
162	7	17	11.42
320	777	3	9.41
106	7703	3	6.93
326	213	5	7.81
518	437	5	20.26
103	405	37	9.38
227	326	5	8.1
176	223	12	12.61
8095	148	3	19.41
7654	106	3	6.93
176	183	14	9.32
2729	560	9	100.58
111	4537	3	7.23
1442	583	6	49.06
348	2477	3	17.2
3123	157	3	10.6
1063	181	4	8.84
1854	1845	14	211.98
498	7363	3	31.73
726	352	3	9.94
652	273	3	7.19
1179	264	3	10.46
2828	255	4	25.32
642	345	3	8.87
488	386	5	18.94
7912	331	3	29.4
274	302	10	33
248	674	3	6.72
106	293	46	15.62
373	375	4	10.89
736	335	3	9.39
3271	144	3	9.16
190	7	13	9.86
171	2426	3	9.25
104	3074	8	15.79
106	103	1354	20.74
2992	186	3	12.5
155	120	52	24.71
954	738	3	16.03
854	765	3	15.22
106	164	121	19.25
4087	12	6	6.99
307	957	4	16.43
7179	111	3	11.41
1124	573	3	14.99
1377	1162	9	87.18
534	363	3	8.03
556	996	3	13.99
293	2194	5	31.32
116	327	18	15.66
141	1398	10	41.06
163	1713	4	11.8
377	58	34	212.74
